009b6b8e fF2X
009b6baf badP5_fdivr
009b6bb4 fdivr_done
009b6bbb ExpScaled
009b6bc1 expret
009b6bc6 negYTOX
009b6bd8 evenexp
009b6be3 negYTOXerror
009b6c29 fFLOGm
009b6c2d fFLNm
009b6c2f fFYL2Xm
009b6c57 zerotoxdone
009b6c72 tranzeropop
009b6c74 tranzeronpop
009b6c79 tranindfpop
009b6c7b tranindfnpop
009b6c80 ExpArgOutOfRange
009b6ca3 zeronpopue
009b6cb9 setOVERFLOW
009b6d37 notanint
009b6d3e evenint
009b6d76 noerror
009b6d90 fFASN
009b6d99 fFACS
009b6da2 fFATN
009b6dbb fFPATAN
009b6dc5 PatanNumeratorTest
009b6dcb PatanDone
009b6dcc AugmentSinCos
009b6df6 DescriminantNeg
009b6e15 postv
009b6e16 zeronpop
009b6e23 indfnpop
009b89a4 listnext_0
009b89b1 listdone_0
009b89b4 dstnext_0
009b89c4 dstdone_0
009b929c chk_null
009b92ce done_0
009b92d3 notclocale
009b92e7 do_lock
009b92fc end_lock
009b9304 chk_null2
009b932f done2
009b933f do_unlock
009b9349 end_unlock
009b934b doret
009bab7c lupe
009bab94 skip1
009bab9e skip2
009baba5 eject
009babaf differ
009babc1 notclocale_0
009babd5 do_lock_0
009babee end_lock_0
009babf4 lupe2
009bac1f eject2
009bac25 differ2
009bac2e toend2
009bac3c do_unlock_0
009bac4a end_unlock_0
009bbf26 RtlUnwind
009bbf38 DirectDrawCreate
009bd23b front_misaligned
009bd24a find_end_of_front_string_loop
009bd27b start_byte_3_0
