# addr size bucket subsystem class how
0040bde0    926 MISSING-ENGINE engine/UNCLASSIFIED                (nearby)                                           layout-weak
0040c2f0    113 LEAK           gameobject/character               CharacterObject                                    callers
0040c370    302 LEAK           gameobject/character               CharacterObject                                    between
0040c4a0    104 LEAK           gameobject/character               CharacterObject                                    between
0040c510    322 LEAK           gameobject/character               CharacterObject                                    between
0040c660     43 LEAK           gameobject/character               CharacterObject                                    between
0040c690     53 LEAK           gameobject/character               CharacterObject                                    between
0040c6d0     53 LEAK           gameobject/character               CharacterObject                                    between
0040c710    191 LEAK           gameobject/character               CharacterObject                                    between
0040c7d0    748 LEAK           gameobject/character               CharacterObject                                    between
0040cac0    107 LEAK           gameobject/character               CharacterObject                                    between
0040cc00    460 LEAK           gameobject/character               CharacterObject                                    between
0040cdd0    279 LEAK           gameobject/character               CharacterObject                                    between
0040cef0     37 LEAK           gameobject/character               CharacterObject                                    between
0040cf20    179 LEAK           gameobject/character               CharacterObject                                    between
0040cfe0    233 LEAK           gameobject/character               CharacterObject                                    callers
0040d0d0     54 SHR-DERIVED    atg/pure3d                         content::LoadInventory::DynamicCaster<pure3d::Animation> ctor/vtref
0040d110     56 SHR-DERIVED    atg/pure3d                         content::LoadInventory::DynamicCaster<pure3d::Animation> ctor/vtref
0040d150     83 LEAK           gameobject/character               CharacterObject                                    callers
0040d2b0    297 LEAK           gameobject/character               CharacterObject                                    callers
0040d3e0     21 SHR-DERIVED    atg/pure3d                         (nearby)                                           layout-weak
0040d400    619 SHR-DERIVED    atg/pure3d                         content::LoadInventory::DynamicCaster<pure3d::Animation> ctor/vtref
0040d670    624 LEAK           gameobject/character               CharacterObject                                    callers
0040d8e0    292 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
0040da10    466 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
0040dbf0   1066 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
0040e020     78 LEAK           gameobject/character               (nearby)                                           layout-weak
0040e090    909 LEAK           gameobject/character               CharacterObject                                    callers
0040e420     35 LEAK           gameobject/character               (nearby)                                           layout-weak
0040e450     97 LEAK           gameobject/character               (nearby)                                           layout-weak
0040e4c0    123 LEAK           gameobject/template                (nearby)                                           layout-weak
0040e540     79 LEAK           gameobject/template                (nearby)                                           layout-weak
0040e590    689 LEAK           gameobject/template                (nearby)                                           layout-weak
0040e850     40 LEAK           gameobject/template                MainCharacterTemplate                              callers
0040e880     80 LEAK           gameobject/template                CharacterTunablesObject                            callers
0040e8d0     54 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040e910     66 MISSING-ENGINE engine/character                   AnimationAction                                    between
0040e960      9 MISSING-ENGINE engine/character                   AnimationAction                                    between
0040e970     13 MISSING-ENGINE engine/character                   AnimationAction                                    between
0040e980     67 MISSING-ENGINE engine/character                   AnimationAction                                    between
0040e9d0    152 MISSING-ENGINE engine/character                   AnimationAction                                    between
0040ea70     40 MISSING-ENGINE engine/character                   AnimationAction                                    between
0040eaa0     32 MISSING-ENGINE engine/character                   AnimationAction                                    between
0040eac0     52 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040eb00    102 LEAK           gameobject/ai                      AICoverState                                       callers
0040eb70     47 LEAK           gameobject/ai                      AICoverState                                       callers
0040eba0    382 LEAK           gameobject/ai                      (nearby)                                           layout-weak
0040ed20    630 LEAK           gameobject/ai                      (nearby)                                           layout-weak
0040efa0     62 LEAK           gameobject/template                (nearby)                                           layout-weak
0040efe0     57 LEAK           gameobject/template                SpeedDataTemplate                                  callers
0040f020     50 LEAK           gameobject/template                (nearby)                                           layout-weak
